block_group,literacy_scor
320030003223,0.04544851
320030003224,0.083039109
320030003225,0.076173118
320030003226,0.052250465
320030003227,0.050982335
320030003301,0.061618471
320030003302,0.075990751
320030003303,0.077511557
320030003304,0.081952043
320030003305,0.062459339
320030003306,0.061510964
320030003408,0.062830803
320030003409,0.079314012
320030003410,0.073521872
320030003411,0.064866974
320030003412,0.072862606
320030003413,0.105990978
320030003414,0.06945745
320030003415,0.097807968
320030003416,0.093610524
320030003417,0.102320663
320030003418,0.098254613
320030003419,0.138336904
320030003420,0.155193433
320030003421,0.062532606
320030003422,0.163689896
320030003423,0.188133859
320030003424,0.213893221
320030003425,0.489849739
320030003500,0.197629549
320030003602,0.262108512
320030003603,0.074256153
320030003604,0.100115009
320030003605,0.082749697
320030003606,0.0665487
320030003607,0.085860064
320030003608,0.073985309
320030003609,0.081239183
320030003610,0.074624117
320030003611,0.098493636
320030003612,0.083974794
320030003613,0.127396794
320030003614,0.10327934
320030003615,0.082218063
320030003700,0.23424909
320030003800,0.500466826
320030004000,0.437419722
320030004100,0.44746351
320030004200,0.467577148
320030004300,0.676062869
320030004400,0.481519844
320030004500,0.37179099
320030004600,0.460663896
320030004703,0.307776623
320030004707,0.439723411
320030004708,0.297193025
320030004709,0.337229347
320030004710,0.200071813
320030004711,0.074903982
320030004712,0.128920826
320030004713,0.26023807
320030004714,0.274599124
320030004715,0.148659144
320030004716,0.154418189
320030004717,0.244010269
320030004907,0.06943412
320030004910,0.141209816
320030004911,0.140924569
320030004912,0.179102826
320030004914,0.070891526
320030004915,0.078448883
320030004916,0.167415677
320030004917,0.076942876
320030004918,0.089845822
320030004919,0.088899164
320030004920,0.132040039
320030004921,0.169737548
320030004922,0.117496097
320030004923,0.094444173
320030004924,0.136397545
320030005005,0.12992767
320030005006,0.109076307
320030005007,0.051612016
320030005008,0.14563794
320030005009,0.112648666
320030005010,0.175087928
320030005011,0.165008603
320030005012,0.109431742
320030005101,0.081020446
320030005102,0.065200824
320030005103,0.067307054
320030005104,0.057705214
320030005105,0.0973619
320030005106,0.062200043
320030005107,0.057301827
320030005108,0.063503328
320030005109,0.082566921
320030005200,0.107736785
320030005311,0.08066316
320030005312,0.067282626
320030005313,0.058435049
320030005314,0.062179992
320030005315,0.057767891
320030005316,0.062888616
320030005317,0.06799428
320030005318,0.053537732
320030005319,0.091570017
320030005320,0.058104901
320030005321,0.049561107
320030005322,0.044316804
320030005331,0.051992744
320030005332,0.060810675
320030005333,0.056719281
320030005334,0.05527106
320030005335,0.056597398
320030005336,0.081985689
320030005337,0.056707402
320030005338,0.072119376
320030005339,0.060257151
320030005341,0.075781599
320030005342,0.061377915
320030005343,0.055514503
320030005345,0.051417305
320030005411,0.079562142
320030005412,0.114086654
320030005421,0.101956198
320030005422,0.1025176
320030005423,0.110321701
320030005431,0.060696854
320030005432,0.066193658
320030005433,0.063554671
320030005501,0.064026531
320030005502,0.053480873
320030005503,0.074675955
320030005504,0.050129845
320030005606,0.151348633
320030005607,0.194561966
320030005608,0.082405372
320030005609,0.070372859
320030005611,0.111536852
320030005612,0.083612702
320030005613,0.055587766
320030005702,0.096126409
320030005703,0.176790927
320030005704,0.091223438
320030005705,0.061686818
320030005710,0.049684869
320030005803,0.087711286
320030005804,0.074644417
320030005805,0.066048389
320030005806,0.077241642
320030005807,0.064340501
320030005808,0.061732605
320030005809,0.08693018
320030005810,0.042308397
320030005811,0.084678498
320030005812,0.095756492
320030005813,0.100160995
320030005816,0.075183523
320030005817,0.061115794
320030005818,0.109774358
320030005819,0.070322802
320030005820,0.049929303
320030005821,0.09044507
320030005901,0.069026332
320030005902,0.163948505
320030006000,0.069888758
320030006101,0.057752966
320030006102,0.109644528
320030006103,0.074330852
320030006201,0.120568811
320030006202,0.119547807
320030006203,0.104422662
320030006204,0.109635019
320039040500,0.167109903
